Text,Entities
All pure wool Cashmere/merino Boiled Wool Possum Fur,[]
"Make your life easier as an event planner! Don't waste time on registration and name tags. Our apps do it all for you, including badge printing on the spot.",[]
"Intermech provides construction management, design assist, and HVAC services","[('Intermech', 'ORGANIZATION')]"
"QCEG MEDIA is creative group of people specialising in digital & print publication, advertising, public relations and live events management. ","[('QCEG MEDIA', 'ORGANIZATION')]"
"Here to liven up your cup and show you that instant coffee doesn’t need to be boring. No added sugar & no nasties. Just smooth, quick, delicious coffee️.",[]
A diversified national asset management firm providing investment capital to small businesses that are underserved by traditional sources of financing.,[]
"Order flowers online from your florist in Richmond Hill, ON. FlowerSmart, offers fresh flowers and hand delivery right to your door in Richmond Hill.","[('Richmond Hill, ON', 'LOCATION'), ('FlowerSmart', 'ORGANIZATION'), ('Richmond Hill', 'LOCATION')]"
Croakun turns your Analytics & Intelligence ideas into successful independent companies.,"[('Croakun', 'PERSON')]"
Max Boon Camera Trainee,[]
"Ultimate Essence, Bringing luxury designer inspired fragrances into your car",[]
"Commercial photography, commercial video production, film production, and 
corporate video, Commercial Studio Johor Services Base in Johor, Kuala 
Lumpur, Singapore, provide world class services over international. At 
Unique Visual Production, we create the advertising photograph & film that 
grow sales & create brand awareness, and we know how to use creativity to 
deliver powerful ad messages.","[('Johor', 'LOCATION'), ('Services', 'ORGANIZATION'), ('Johor, Kuala \r\nLumpur, Singapore', 'LOCATION'), ('Unique Visual Production', 'ORGANIZATION')]"
"Longhouse is a contemporary design atelier in the high end residential and 
hospitality sectors with a focus on decorative light fixtures. Handmade 
wood, metal, and rope parts combined with studio blown glass create their 
collections with locations in Napa, California and Brooklyn New York.","[('Napa', 'LOCATION'), ('California', 'LOCATION'), ('Brooklyn New York', 'LOCATION')]"
CAMELOT WELLNESS - Fitness Pilates Yoga Beauty,"[('CAMELOT WELLNESS', 'ORGANIZATION')]"
Your business technology should be simple and reliable so you have more time to grow your business and achieve your goals. Let’s make it simple.,[]
"Carrum Downs favourite with great food restaurant & bar offering karaoke, 
kids play areas, free WiFi & much more. Make a reservation now!","[('Carrum Downs', 'ORGANIZATION')]"
"Located in Farnborough, we can manage commercial construction and renovation projects in Guildford and all nearby areas. Call 0203 432 2480 for more details.","[('Farnborough', 'LOCATION'), ('Guildford', 'LOCATION'), ('0203 432 2480', 'OTHER')]"
"<meta name= ""Keywords"" content = Local handyman, Member BBB,No job too small, Handyman services, Affordable handyman, Home maintenance, Home repairs, Handyman of Phoenix, Handyman Tempe, handyman, handyman Glendale, Handyman Scottsdale, Home care, Residential maintenance, Air conditioning service, Stucco repairs, Plumbing repairs, Electrical, Drywall repairs>","[('Phoenix', 'LOCATION'), ('Tempe', 'ORGANIZATION'), ('Glendale', 'LOCATION'), ('Scottsdale', 'ORGANIZATION')]"
SmartyAds is a full stack programmatic ad buying company which offers the best-in-class profitable ad monetization and media buying solutions for advertisers and publishers in the digital marketing industry,"[('SmartyAds', 'ORGANIZATION'), ('full stack', 'QUANTITY')]"
"Brindle redefines the must have plugins for WordPress, only ours leave the competition in the dust. FREE Trial and Support plan included.","[('Brindle', 'TITLE'), ('WordPress', 'TITLE')]"
"10+ years experience. $24M in client revenue generated. Full-stack team of experts. Track record in eCommerce, SaaS, B2B, online courses and more.","[('10+ years', 'QUANTITY'), ('$24M', 'QUANTITY')]"
"location , shop pics and products. bongs , pipes and more",[]
"Professional Pool Repair - San Francisco Bay Area, Marin County","[('San Francisco Bay Area', 'LOCATION'), ('Marin County', 'LOCATION')]"
"Aerial videography and professional, independent film for commercial, creative, and business outlets.",[]
The Ruby + Associates team designs and engineers exceptional solutions to the world's most challenging structural engineering projects.,"[('Ruby + Associates', 'ORGANIZATION')]"
SEE IT. TASTE IT. BELIEVE IT. The next generation of plant based foods is here. Using plants to create delicious and satisfying meat experiences you crave.,[]
"We are a women's magazine on all things body and mind. Get the latest on life, love, fitness, personal care, nutrition and more! Welcome to Body + Mind!","[('Body', 'ORGANIZATION'), ('Mind', 'ORGANIZATION')]"
"Happy Fortune is a family owned business with 40 years of experience in authentic family Chinese food in Dover. They offer appetizers, fried rice, and seafood.","[('Happy Fortune', 'ORGANIZATION'), ('40 years', 'QUANTITY'), ('Chinese', 'OTHER'), ('Dover', 'LOCATION')]"
The Employee Survey Company - Measure What Matters Most. Take Our Demo & Learn How Effective Employee Surveys Can Boost Engagement With Expert Analysis And Benchmark Data.,[]
"Exeter's leading Web, App and eCommerce development agency. Friendly team helping businesses transform ideas into experiences with innovative technologies.","[('Exeter', 'ORGANIZATION')]"
"GLASSCON GmbH is a german premium facade contractor with subsidiaries & partners worldwide. GLASSCON offers worldwide from one hand full integrated ""turn key"" building envelopes, facade systems, curtain walls, facade engineering.","[('GLASSCON GmbH', 'ORGANIZATION'), ('german', 'OTHER'), ('GLASSCON', 'ORGANIZATION'), ('one', 'QUANTITY')]"
"GCT Marketing lives and breathes design and know that every property has a story, every space unique. Our tailored approach to luxury staging means we carefully curate high-end furniture, furnishings and accessories to suit the individual room and existing architecture.","[('GCT Marketing', 'ORGANIZATION'), ('every', 'QUANTITY'), ('space', 'QUANTITY')]"
Looking for High Speed Broadband Service in Punjab Dreamtel Provides you with the Best Broadband Service in Punjab. Unlimited Broadband Connection in Punjab.,"[('Punjab', 'LOCATION'), ('Dreamtel', 'ORGANIZATION'), ('Punjab', 'LOCATION'), ('Punjab', 'LOCATION')]"
"Resource for professionals in the packaging industry- Information on packaging, bottling, sealing, cartoning, wrapping, multipacking and more",[]
"At AAK, we are experts in plant-based oils and fats. We collaborate with you in an innovative and sustainable way to come up with the optimal solution.","[('AAK', 'ORGANIZATION')]"
This is a hidden article.,[]
"Sterling Edge manufactures quality milling tools for 3D applications, primarily for the mold-and-die-making industry.","[('Sterling Edge', 'ORGANIZATION')]"
Are you looking for LED Lighting in Australia? LED World is Australia's leading supplier for domestic and commercial lighting.,"[('Australia', 'LOCATION'), ('LED World', 'ORGANIZATION'), ('Australia', 'LOCATION')]"
"Diamex, Inc. in New York, NY manufactures polished diamonds from rough, 
recuts and repairs stones of all sizes, buys and sells finished diamonds to 
both wholesalers and retailers while continuing to expand their services 
with new technologies and techniques. They provide jewelry consultations, 
appraisals and is a trusted resource for estate sales or private purchases.","[('Diamex, Inc.', 'ORGANIZATION'), ('New York, NY', 'LOCATION'), ('both', 'QUANTITY')]"
"Removals, delivery, logistics, moving house, ",[]
Cambridge Properties has consistently been at the forefront of the Arizona residential and commercial real estate market as a leader in luxury living.,"[('Cambridge Properties', 'ORGANIZATION'), ('Arizona', 'LOCATION')]"
"Spacemaker enables teams to collaborate, analyse and design real estate sites, using AI to help developers, architects and planners to make better decisions, faster.","[('Spacemaker', 'ORGANIZATION')]"
The owner of this domain has not yet uploaded their website.,[]
Red Door Properties' ultimate goal in the business is creating customers (and friends!) for life; not quick transactional sales. Work with the team today!,"[('Red Door', 'ORGANIZATION'), ('today', 'DATE')]"
"Water Studio designs and builds contemporary water feature, water walls, and fire features for commercial, residential, and public spaces","[('Water Studio', 'ORGANIZATION')]"
"Southern Welding, from Industrial products to barn stalls to entrance gates, we have been in business since 1999 with over 30 years experience. Let us quote all your steel, aluminum, stainless steel, and all types of welding needs.","[('Southern Welding', 'ORGANIZATION'), ('1999', 'DATE'), ('over 30 years experience', 'QUANTITY')]"
We are merging all CPA Networks to provide a solution for you to optimize ads conversions and earn more with responsive landing pages.,"[('CPA', 'OTHER')]"
"A leader of Industrial Tool Rental in Eastern Canada. Offering Sales, Service, and Rental of tools for Pipe, Tube, Milling, Bolting, Cutting and Torque.","[('Eastern Canada', 'LOCATION')]"
"Cartiere Miliani Fabriano is a historic, yet modern business with characteristics that are unique in the paper mill world.","[('Cartiere Miliani Fabriano', 'ORGANIZATION')]"
"Buildia Constructions is based in Limassol and specializes in commercial, institutional, industrial, and civil construction services.","[('Buildia Constructions', 'ORGANIZATION'), ('Limassol', 'LOCATION')]"
"Health, Nutrition, Tips & Tricks, Mini Cooper, Classic Car",[]
"Austin Business Listing of Austin, TX. Find a wide range of products and services offered from businesses in the Austin metro area.","[('Austin', 'LOCATION'), ('Austin, TX', 'LOCATION'), ('Austin', 'LOCATION')]"
The Vision Engine is a boutique agency specialising in helping service/experiential brands become both customer-centred and profitable. ,"[('Vision Engine', 'ORGANIZATION')]"
About us - information,[]
LBS Properties is a property development and investment company focused on the residential and commercial sectors of the Central London market.,"[('LBS Properties', 'ORGANIZATION'), ('Central London', 'LOCATION')]"
"Bikers Studio is a top and well known Motorcycle and Bike Helmet Dealer in Odhav, Ahmedabad and also known for Helmet Dealers-axor. Get access to address, contact number, photos, directions, working hours and services of Bikers Studio, Odhav, Ahmedabad.","[('Bikers Studio', 'ORGANIZATION'), ('Odhav, Ahmedabad', 'LOCATION'), ('Dealers-axor', 'ORGANIZATION'), ('Bikers Studio', 'ORGANIZATION'), ('Odhav, Ahmedabad', 'LOCATION')]"
"Amber Education Services Ltd. offers workforce development services to Victoria, Nanaimo, Parksville, Port Alberni, Ucluelet, Tofino and Campbell River.","[('Amber Education Services Ltd.', 'ORGANIZATION'), ('Victoria', 'LOCATION'), ('Nanaimo', 'LOCATION'), ('Parksville', 'LOCATION'), ('Port Alberni', 'LOCATION'), ('Ucluelet', 'LOCATION'), ('Tofino', 'LOCATION'), ('Campbell River', 'LOCATION')]"
Prestigious and Affordable Luxury Watches. Elegance does not have to break the bank!,[]
MyDreamFurniture is the best furniture review blog you will come across. Get frequent updates and comprehensive reviews about the top and best furniture for home.,"[('MyDreamFurniture', 'ORGANIZATION')]"
"YouBuy Online Shopping - Great deals on a huge range of products including Homewares, Furniture, Camping and Outdoors, Fitness Accessories, Pet Supplies, Tools, Truck Parts, plus much, much more. Purchase Online Now!","[('YouBuy', 'ORGANIZATION')]"
"Vapor Boss is retail vape shop, both online and brick and mortar locations, providing the vape community with quality vapes, E-liquids, E-juice, salt nic, and more.","[('Vapor Boss', 'ORGANIZATION')]"
"Affordable powered access hire across South Wales, Bristol and Gloucester. No Account Needed - Hire Today","[('South Wales', 'LOCATION'), ('Bristol', 'LOCATION'), ('Gloucester', 'LOCATION'), ('Today', 'DATE')]"
Fill and submit the online contact form and we will get back to you as soon as possible. You can also reach us by Calling 1-888-801-4645.,"[('1-888-801-4645', 'OTHER')]"
"Professional Cosmetic Tattooing in Moonee Ponds specialising in eyeliner, feather touch or 3D eyebrows and Lips shading.","[('Moonee Ponds', 'ORGANIZATION')]"
"Professional landscaping solutions<br>Pattern Imprinted Concrete by Readypave Ltd creates the ultimate first impression for your Driveway, Patio, Path, Pool surround or Roadway. Quality assured. Available in a range of colours and patterns.","[('Readypave Ltd', 'ORGANIZATION'), ('first impression', 'QUANTITY')]"
"provide cleaning and janitorial services to every sector of the business community which includes retail, manufacturing, warehousing and office based companies in malaysia.","[('every', 'QUANTITY'), ('malaysia', 'LOCATION')]"
"Fort Myers General Contractor | Commercial Construction services in SW Florida | Healthcare, Commercial, Hostpitality, Retail and Marine industry.","[('Fort Myers', 'ORGANIZATION'), ('SW Florida', 'LOCATION')]"
Responsive WordPress Gym Fitness Theme,"[('WordPress', 'ORGANIZATION')]"
Delivering solutions around the world!,[]
"LC Resources is a leader in innovative HPLC software, HPLC training, and contract laboratory services for HPLC and LC-MS. Look to LC Resources for the expertise, knowledge, and experience you need to solve your most vexing chromatography problems.","[('LC Resources', 'ORGANIZATION'), ('HPLC', 'ORGANIZATION'), ('HPLC', 'ORGANIZATION'), ('HPLC', 'ORGANIZATION'), ('LC Resources', 'ORGANIZATION')]"
"Ace Industries: Cranes, Hoists, Come Alongs,  Gantry Cranes, Jib Cranes, Davit Cranes, Winches, End Trucks, Lifting Slings and Bridge Cranes","[('Ace', 'ORGANIZATION')]"
International TOC Consulting Group,"[('TOC Consulting Group', 'ORGANIZATION')]"
"Experienced Motion Designer with a demonstrated history of working in the media production industry. Skilled in Broadcasting, Graphics, Video and Animation Arts",[]
"Hi I'm Lenore, I'm a travel OT. I blog about my experiences during my travels, share personal stories, tips, tricks, and itineraries.","[('Lenore', 'PERSON')]"
Collector of alternative styles of living.,[]
SHAPA has been the UK's leading specialist association for the Solids Handling and Processing Industry since its formation in 1981.,"[('SHAPA', 'ORGANIZATION'), ('UK', 'LOCATION'), ('Solids Handling and Processing Industry', 'ORGANIZATION'), ('1981', 'DATE')]"
"A&M Communication, the best advertising and digital marketing company in Ranchi. Our services included Digital marketing, Advertising, Communication, Branding, Social Media Promotion, Public Relation.","[('A&M Communication', 'ORGANIZATION'), ('Ranchi', 'LOCATION')]"
">Check for available units at Falcon Bridge at Gale Ranch in San Ramon, CA. View floor plans, photos, and community amenities. Make Falcon Bridge at Gale Ranch your new home.","[('Falcon Bridge', 'LOCATION'), ('Gale', 'LOCATION'), ('Ranch', 'ORGANIZATION'), ('San Ramon, CA.', 'LOCATION'), ('Falcon Bridge', 'LOCATION'), ('Gale', 'LOCATION'), ('Ranch', 'ORGANIZATION')]"
"D.G Pictures offers professional video production services including Wedding Film Production, Live theatre/stage event coverage and corporate productions.","[('D.G Pictures', 'ORGANIZATION')]"
BigFuture is a Sydney based development team with extensive financial expertise.,"[('BigFuture', 'ORGANIZATION'), ('Sydney', 'LOCATION')]"
"Impa Software is an emerging IT Service and solution provider in Malaysia, which includes ERP software like Ship chandler, Web Design, SEO, & etc..","[('Impa Software', 'ORGANIZATION'), ('Malaysia', 'LOCATION'), ('Ship chandler', 'OTHER')]"
Republic of Coffee Specialty Roasters Roasting and supplying coffee since 2011. Our passion is for everything coffee. Sourcing the best ethically sourced beans is important to us. We are constantly improving ourselves ensuring the beans and coffee products we sell are nothing short of amazing.,"[('Republic of Coffee', 'ORGANIZATION'), ('2011', 'DATE')]"
"Orlando General Contractor, Building Contractor, commercial contractor, residential contractor, licensed Florida contractor, Orlando,Fl, bathroom contractor, kitchen contractor, remodel contractor, home additions, home renovations, water, fire and smoke restoration, reconstruction, insurance repairs, insurance contractor Clermont, Fl","[('Orlando', 'ORGANIZATION'), ('Florida', 'LOCATION'), ('Orlando', 'ORGANIZATION'), ('Fl', 'ORGANIZATION'), ('Clermont', 'ORGANIZATION'), ('Fl', 'ORGANIZATION')]"
"K R Industries is a Leading Custom Molded Rubber Parts Products Manufacturers in India,USA specializing in all types of Molded Rubber Parts,Rubber Bonded with Child Parts (Metal). Contact us!","[('K R Industries', 'ORGANIZATION'), ('India,USA', 'LOCATION')]"
"KECO CAPITAL was formed by investors to serve investors. Founders, Kekoa and Cory, envisioned a full-service lending company serving new and seasoned investors. Whether they are funding a single family renovation or a new construction hotel, they are passionate about offering their expertise to build long-lasting relationships.","[('KECO CAPITAL', 'ORGANIZATION'), ('Kekoa', 'ORGANIZATION'), ('Cory', 'PERSON'), ('single family', 'QUANTITY')]"
"Cottage Cafe is a restaurant with classic breakfast or lunch that will bust your belly, but not your budget. ","[('Cottage Cafe', 'ORGANIZATION')]"
"TaoMylife集运
TaoMylife International Logistics Ltd.","[('TaoMylife集运', 'ORGANIZATION'), ('TaoMylife International Logistics Ltd.', 'ORGANIZATION')]"
"Providing innovative engineering and manufacturing solutions since 1963, Control Devices offers products and components for pressure washers, air compressors, fire suppression systems, vehicle systems, specialty gas applications, and the agricultural and food & beverage industries. Specific products include a wide variety of specialty valves, nozzles, and condensate traps.","[('1963', 'DATE')]"
Sparrow Technologies - IT services VOIP Internet Phone CCTV Voip Cat5 cat6 network cabling cctv wireless remote support,"[('Sparrow Technologies', 'ORGANIZATION'), ('Cat5', 'OTHER'), ('cat6', 'OTHER')]"
"Energy Wise Solutions has a Heat Storm Heating Line and North Storm Cooling line of products that vary from portable air conditioners, to window mounted air conditioners, to indoor infrared space heaters, to radiant glass heaters, to wall heaters to outdoor infrared heaters.","[('Energy Wise Solutions', 'ORGANIZATION')]"
"Buy, Sell and Services",[]
"Systems Associates manufactures weighing and identification systems primarily for the railroad transportation industry. We also manufacture numeric displays to show weight, time, product count, etc.","[('Systems Associates', 'ORGANIZATION')]"
"<br>Royal Capital Ltd., no 1 retail broker in Bangladesh.
 RCL is well accepted to his clients for its futuristic thinking and innovative services.
","[('Royal Capital Ltd.', 'ORGANIZATION'), ('no 1 retail broker', 'QUANTITY'), ('Bangladesh', 'LOCATION'), ('RCL', 'ORGANIZATION')]"
Planning to move to Malaysia? We sponsor foreigners to stay in Malaysia as a second home for their family to enjoy quality lifestyle.,"[('Malaysia', 'LOCATION'), ('Malaysia', 'LOCATION'), ('second home', 'QUANTITY')]"
"Facials in New York City that are customized to fit each individual’s skin 
needs. Unlike other spa facials, MiCara focuses on understanding your 
specific requirements to provide treatments that will deliver beautiful 
skin.","[('New York City', 'LOCATION'), ('each individual', 'QUANTITY'), ('MiCara', 'ORGANIZATION')]"
"American Pipe Fitting Manufacturer of bushings, caps, plugs, and couplings","[('American', 'OTHER')]"
"Overseas Printing Corporation has been recognized as a leader amongst international commercial  book printing companies. 
Overseas Printing offers complete pre-press, printing, and bindery facilities.","[('Overseas Printing Corporation', 'ORGANIZATION'), ('Overseas Printing', 'ORGANIZATION')]"
"Sunglo supplies Fruit, Natural and Greek Yoghurt, Lassi, Sour Cream to Peninsular Malaysia, Sabah and Sarawak. Contact us on 1800 888 YOG","[('Sunglo', 'ORGANIZATION'), ('Malaysia', 'LOCATION'), ('Sabah', 'LOCATION'), ('Sarawak', 'LOCATION'), ('1800 888 YOG', 'OTHER')]"
Contact with an owner of mergeskills.com domain name.,"[('mergeskills.com', 'OTHER')]"
"Trans World Metals, LTD has been in the precious metals business for 34 years and since 1986 has been a worldwide broker/dealer in precious metals, includling gold, silver, palladium and platinum bullion and gold and silver-backed IRA's. Based in Kailua Kona, Hawaii.","[('Trans World Metals, LTD', 'ORGANIZATION'), ('34 years', 'QUANTITY'), ('1986', 'DATE'), ('Kailua Kona, Hawaii', 'LOCATION')]"
"Increase sales and deliver effortless customer care with multi-channel messaging, smart campaigns, and chatbots. -",[]
"Alpha Approach is a premium end-to-end career counselling platform, helping students accelerate and land dream jobs across consulting and banking. Supported by experienced industry professionals from top tier firms in the UK. ","[('Alpha Approach', 'TITLE'), ('UK', 'LOCATION')]"
Beach Boutique is SurfGirl’s online shop with a difference! It’s a treasure chest of beach essentials and handmade crafts for girls who love the ocean.,"[('Beach Boutique', 'ORGANIZATION'), ('SurfGirl', 'ORGANIZATION')]"
Buy now at AM-AutoParts! Always Free Shipping. Order by 4 P.M. EST and your order ships same day.,"[('AM-AutoParts', 'ORGANIZATION'), ('4 P.M. EST', 'DATE')]"
This domain may be for sale!,[]
"Yuen Mei is a Chinese takeaway in Torbay. Visit us at 51 Market St, Torquay, Torbay, TQ1 3AW or call 01803 294 497 for orders and more information.","[('Yuen', 'LOCATION'), ('Mei', 'PERSON'), ('Chinese', 'OTHER'), ('Torbay', 'LOCATION'), ('51 Market St, Torquay', 'LOCATION'), ('Torbay', 'LOCATION'), ('TQ1 3AW', 'LOCATION'), ('01803 294 497', 'OTHER')]"
Interconnect Solutions Company (ISC) partners with you to design & manufacture complex product solutions & custom overmolded assemblies. Let’s get started.,"[('Interconnect Solutions Company', 'ORGANIZATION'), ('ISC', 'ORGANIZATION')]"
"Largest wealth management firm in Lamorinda (Lafayette, Moraga and Orinda, CA). We are a 100% fee-only fiduciary. Retirement planning, financial planning & investment management services. Experienced, credentialed financial advisors. 35+ years in business. Call 925.299.1500 for a free, no-obligation portfolio review.","[('Lamorinda', 'LOCATION'), ('Lafayette', 'LOCATION'), ('Moraga', 'LOCATION'), ('Orinda, CA', 'LOCATION'), ('100%', 'QUANTITY'), ('35+ years', 'QUANTITY'), ('925.299.1500', 'OTHER')]"
"Increase growth, reduce risk, accelerate impact - Pottinger provides strategic and financial advice that stands the test of time",[]
Eco Green Park is your premier option for secure document shredding and record storage services. We can handle large quantities of documents. Call today for trustworthy service!,"[('Eco Green Park', 'ORGANIZATION'), ('today', 'DATE')]"
we are a company dedicated to the wholesale and retail of electronic and wireless products. www.spherewebsite.com,"[('www.spherewebsite.com', 'OTHER')]"
"Esteem Homes LLC offers custom residential properties. Our company is 
designed to help you achieve your dream of living in a beautiful home. 
Imagine having an amazing space in which you are able to entertain friends 
and family, be close to all local shopping and dining, and unwind from a 
long day.","[('Esteem Homes LLC', 'ORGANIZATION')]"
TEG Solutions provides clients an economic and environmentally safe way to ensure the longevity of their Dehydration Units and BTEX Condensers.,"[('TEG Solutions', 'ORGANIZATION'), ('BTEX', 'OTHER')]"
Caterers in Kent & Sussex - Cuisine Studio Catering Co offer bespoke Event Catering & Event Management. Caterers using high quality produce from local farms,"[('Kent', 'LOCATION'), ('Sussex', 'LOCATION'), ('- Cuisine Studio Catering Co', 'ORGANIZATION')]"
Home: Shine Live is a charitable organisation developed to support secondary schools and young people through the delivery of their SMSC curriculum and creative gatherings.,"[('Home', 'ORGANIZATION'), ('Shine Live', 'ORGANIZATION')]"
JA specialises in insuring High Value and High Risk Industries.,"[('JA', 'ORGANIZATION')]"
We are a leading regional multinational pharmaceutical company with over 50 years of experience in the pursuit of health and wellbeing.,"[('over 50 years', 'QUANTITY')]"
Brazilian agriculture and agrochemicals strategy design and consulting firm. ,"[('Brazilian', 'OTHER')]"
"Asis 2000 and Asis@NZ Limited are reputable management, training and BPO 
companies. Collaborating closely with our customers, we develop and execute 
long-term strategies to achieve the desired performance and keeping the 
costs low for our customers.","[('Asis 2000', 'ORGANIZATION'), ('Asis@NZ Limited', 'ORGANIZATION')]"
"Based in Austin TX, Magdesign serves high-tech and startups with graphic design, branding, UI/UX and traditional print design for seamless, consistent visual communications.","[('Austin TX', 'LOCATION'), ('Magdesign', 'ORGANIZATION')]"
"Celebrating the Malaysia's Most Attractive Graduate Employer Brands To Work For, 100% Voted for by University Students across Malaysia.","[('Malaysia', 'LOCATION'), ('100%', 'QUANTITY'), ('Malaysia', 'LOCATION')]"
"Premium Home and Commercial Construction and Renovation by B.H. Builders, Inc.","[('B.H. Builders, Inc.', 'ORGANIZATION')]"
"Trucking Company that is ethical and fair to drivers in pay, choose schedule. www.tctlogisticstn.com","[('www.tctlogisticstn.com', 'OTHER')]"
"Established in 1981, ST Auto Spares Sdn. Bhd. has more than 30 years of experience in auto spare parts & accessories trading in Malaysia. Find genuine Toyota, Lexus, Isuzu, Mazda parts at ST Auto Spares!","[('1981', 'DATE'), ('ST Auto Spares Sdn. Bhd.', 'ORGANIZATION'), ('more than 30 years', 'QUANTITY'), ('Malaysia', 'LOCATION'), ('Toyota', 'ORGANIZATION'), ('Lexus', 'ORGANIZATION'), ('Isuzu', 'ORGANIZATION'), ('Mazda', 'ORGANIZATION'), ('ST Auto Spares', 'ORGANIZATION')]"
"Kahi Classifieds Post Free Buy Sell Ad Posting Sites Online. Search Classified Ads For Jobs, Local business directory, Find Real Estate Properties On Sale & More.","[('Kahi', 'PERSON')]"
BL Logistics provides custom surface transportation solutions to fit every operation's transportation needs.,"[('BL Logistics', 'ORGANIZATION'), ('every operation', 'QUANTITY')]"
Massachusetts Wealth Management manages client assets to the individual need of clients.,"[('Massachusetts Wealth Management', 'ORGANIZATION')]"
Web and mobile apps development in the heart of sunny Marbella.,"[('Marbella', 'LOCATION')]"
"Real Estate Asset Management & Development, Portfolio, Office, Shopping Center, Industrial-Logistics, Hotels and Hospitality, Residential Multifamily and single, Student Housing, Senior Living, Mixed-Use",[]
UKB Marketing specialises in creating high-quality digital marketing campaigns that attract scores of customers and generate more sales.,"[('UKB Marketing', 'ORGANIZATION'), ('scores of', 'QUANTITY')]"
"Monadelphous is a leading Australian engineering group providing construction, maintenance and industrial services to the resources, energy and infrastructure sectors. We are involved in some of Australia’s biggest and most complex projects.","[('Monadelphous', 'ORGANIZATION'), ('Australian', 'LOCATION'), ('Australia', 'LOCATION')]"
Artboard 1 Copy 103Created with Sketch. Brandbee is a technology and digital marketing company with our HQ in the heart of Stockholm. Everything we do is based…,"[('Artboard', 'ORGANIZATION'), ('1 Copy 103Created', 'COMMERCIAL_ITEM'), ('Brandbee', 'ORGANIZATION'), ('Stockholm', 'LOCATION')]"
Canvas Printing For Photos & Artist: Canvas Guide,[]
Technology Research and Development,[]
Asian Fusion restaurant on the landing in Fort Wayne,"[('Asian', 'OTHER'), ('Fort Wayne', 'LOCATION')]"
"UK supplier of healthcare care technology and alert systems for a wide range of industries, including; staff attack, nurse call and critical communication.","[('UK', 'LOCATION')]"
Golden Shine is a domestic referral cleaning agency that specializes in house cleaning and carpet cleaning throughout San Diego and surrounding areas.,"[('Golden Shine', 'ORGANIZATION'), ('San Diego', 'LOCATION')]"
Visual Communication & Brand Design,[]
"RESORT CONSULTANTS Tropical Area is a consultancy specialised in resort concept and development, including  preliminary and feasibility studies, architecture, interior and furniture design, project management and procurement  .Tropical Area is and has been involved in numerous resorts projects ,often very early in the process , developing new hospitality concepts or identifying locations. We made a specialty of developments in remote locations, with strong emphasis on the respect of the environment.","[('RESORT CONSULTANTS', 'ORGANIZATION'), ('Tropical', 'LOCATION'), ('Area', 'ORGANIZATION'), ('Area', 'LOCATION')]"
BERTEN provides wireless communication systems and crypto security products for critical platforms.,"[('BERTEN', 'ORGANIZATION')]"
Classic Brands is a leader of specialty sleep products and leather furniture sold in store chains nationwide and globally online. Learn more here.,"[('Classic Brands', 'ORGANIZATION')]"
Check out this GoDaddy hosted webpage! http://sparkisys.com.,"[('GoDaddy', 'TITLE'), ('http://sparkisys.com', 'OTHER')]"
The owner of this domain has not yet uploaded their website.,[]
"Embedded Computer Design, Assembly, Branding, Supply Chain & Lifecycle Management. Utilize our expertise to craft solutions that fulfill your needs.",[]
A corporate Bootstrap theme by Medium Rare,[]
LearningApps - interactive and multimedia learning blocks,[]
"Carbine Media Year Planners can be used on a wall, desk or door & provide professional people with a medium to see the entire working year at a glance.","[('Carbine', 'ORGANIZATION'), ('Media', 'TITLE'), ('Planners', 'COMMERCIAL_ITEM'), ('entire working year', 'QUANTITY')]"
A creative agency working with cultural organisations and commercial brands,[]
"Fasteners and Construction Supplies New Orleans, LA www.acefasteners.com (504) 738-1384","[('New Orleans, LA', 'LOCATION'), ('www.acefasteners.com', 'OTHER'), ('(504) 738-1384', 'OTHER')]"
"ImaBiotech offers a unique Spatial Multi-omics Platform including Mass Spectrometry Imaging and Spatial transcriptomics to provide deep drug evaluation in preclinical and clinical studies. Our offer includes Biomarker discovery, DMPK, Pharmacology, Toxicity, ADME and PK/PD: solutions from Lead Optimization to Phase III. ","[('ImaBiotech', 'ORGANIZATION'), ('DMPK', 'OTHER'), ('ADME', 'OTHER'), ('PK/PD', 'OTHER'), ('Phase', 'OTHER'), ('III.', 'QUANTITY')]"
"SAFFANA's expression is a playground for boundless creativity, channeling contemporary fashion concepts for modern day women. We at SAFFANA believe that a mix of feminine and flirty vogue trend is an effortless way of expressing a good taste","[('SAFFANA', 'ORGANIZATION'), ('SAFFANA', 'ORGANIZATION')]"
"CMR Construction serves the greater South Florida and Miami metropolitan area. We build functional, beautiful spaces for Florida's most discerning people.","[('CMR Construction', 'ORGANIZATION'), ('South Florida', 'LOCATION'), ('Miami', 'LOCATION'), ('Florida', 'LOCATION')]"
"Jamesport Farm Brewery is a pet friendly microbrewery and tasting room situated on an immaculate, active 43-acre farm nestled in the heart of eastern Long Island’s North Fork wine country.","[('Jamesport Farm Brewery', 'ORGANIZATION'), ('43-acre', 'QUANTITY'), ('eastern Long Island', 'LOCATION'), ('North Fork', 'LOCATION')]"
"EARTHFOOD’s is a leading organic store of healthy, nutritious foods. Get pure and natural ghee, honey, spices, powders, and much more at reasonable prices.","[('EARTHFOOD', 'ORGANIZATION')]"
P&S Pest Control Inc. is a family owned and operated pest control company providing quality service using the highest quality products. We are fully licensed and insured with over 23 years in business. ,"[('P&S Pest Control Inc.', 'ORGANIZATION'), ('over 23 years', 'QUANTITY')]"
